"","dataset","Model","parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"1","Full","BLM1_fit","alpha",0.129871770265202,0.00760592530487259,0.121874516457584,0.126106655595997,0.128617860990751,0.131589430962775,0.147951690704387,1.05277242503332,140
"2","Full","BLM1_fit","beta",0.0405805909075588,0.00070066747419374,0.0389690857511055,0.0404007751116737,0.0406843206745639,0.0409279235738314,0.0413457626566676,1.10313005347515,180
"3","Full","BLM1_fit","deviance",-5884.27639990077,50.8194450082607,-5981.54319955937,-5919.88482534584,-5884.84433460942,-5848.57925207032,-5783.91001880136,1.00122498230439,1500
"4","Full","BLM1_fit","tauy",1113.73733111725,82.3780370982156,970.776086638013,1067.6087963204,1117.32831790731,1163.16768707875,1250.68553406422,1.02490886268275,1500
"5","Full","BLM1_fit_NoErrors","alpha",0.12843235004709,0.00609018719416916,0.12093499041382,0.125795497367991,0.128589382368388,0.131036946641347,0.136117638213404,1.03613907780811,1500
"6","Full","BLM1_fit_NoErrors","beta",0.0407608098850455,0.00063553623766955,0.0400393051713716,0.0405074750255168,0.0407424788308862,0.0409920832787835,0.041458580694131,1.00387741056036,1500
"7","Full","BLM1_fit_NoErrors","deviance",-3081.22598526526,42.3319284020852,-3103.25108634177,-3091.23189228528,-3083.5405871443,-3075.71172593902,-3058.59844611967,1.00669467819967,1500
"8","Full","BLM1_fit_NoErrors","tau",1061.29592739303,64.6081883879223,956.909721694795,1024.5210426611,1060.58463669371,1099.17120423525,1175.96812314155,1.0000290718959,1500
"9","Full","BLM1_fit","alpha",0.137451875576541,0.00790918125494808,0.125962438500393,0.134906496631822,0.138430891436314,0.141366932503152,0.146395907088897,1.26566131918562,38
"10","Full","BLM1_fit","beta",0.0399100767470196,0.000768070310705247,0.0390908971054582,0.0395221706433157,0.0398101236131782,0.040148846956733,0.0410178910736264,1.22067929408061,32
"11","Full","BLM1_fit","deviance",-5916.54265559323,48.877684500081,-6011.77343043383,-5949.09261163853,-5916.75083326809,-5883.60491222307,-5820.06486403895,1.00117415429026,1500
"12","Full","BLM1_fit","tauy",1063.50236611033,77.9655500421647,925.809290372646,1022.52868630269,1064.75068398701,1111.93463174625,1192.42711440072,1.10338866266618,310
"13","Full","BLM1_fit_NoErrors","alpha",0.137860462473543,0.00724223183102455,0.13067108782092,0.135397139455915,0.137976205563938,0.140545672114169,0.146033308659389,1.05638561081939,1500
"14","Full","BLM1_fit_NoErrors","beta",0.0398776594682174,0.000617081358479416,0.039117871241794,0.0396130514508275,0.0398664008666549,0.0401087958665984,0.0405923783846282,1.03290244068576,1500
"15","Full","BLM1_fit_NoErrors","deviance",-3053.83033282867,66.3677498206319,-3076.14482243546,-3064.78882664448,-3057.44283745561,-3049.90239223875,-3031.41364911356,1.0208433170955,1500
"16","Full","BLM1_fit_NoErrors","tau",1030.2876521943,66.7808403915082,923.767332304088,995.689758769098,1030.8003009183,1067.87150876222,1140.40936735419,1.01411828519768,1500
"17","Full","BLM3_fit","alpha[1]",0.23543699571995,0.0524874201110365,0.0975839813803503,0.217473486531683,0.242311493552357,0.257242901091562,0.329000106268358,1.52364011879571,8
"18","Full","BLM3_fit","alpha[2]",0.251253432616798,0.09757302327779,0.123446190400371,0.173396933951553,0.218212623750528,0.356233278402876,0.434404287499554,4.91441437090421,3
"19","Full","BLM3_fit","alpha[3]",0.159062221139537,0.01860719180322,0.126243897355065,0.149064134203083,0.156677089069508,0.16603131878745,0.213335902809703,1.15402182340076,160
"20","Full","BLM3_fit","alpha[4]",0.181169138844862,0.00732032741964491,0.170580768086741,0.176945370226109,0.180631697224265,0.184709188006167,0.192463616879091,1.03580660197705,1500
"21","Full","BLM3_fit","alpha[5]",0.0853368424617411,0.011648220156126,0.0736471004898908,0.0809662824728484,0.0846900791150212,0.0883062654390873,0.0966304712106429,1.09776130854121,170
"22","Full","BLM3_fit","beta[1]",0.0322704561085964,0.00432073042369982,0.0245782679515619,0.0304714673940728,0.0316973055599784,0.0337512988320444,0.0436478704236793,1.70169913906847,6
"23","Full","BLM3_fit","beta[2]",0.0306436224936806,0.00838076617686084,0.0149309919353852,0.0216917996388316,0.0334648132618603,0.0372814552431112,0.0416376887994475,4.48539932171156,3
"24","Full","BLM3_fit","beta[3]",0.0389315894930792,0.00164299258519512,0.0341277474408002,0.0383196252165892,0.0391378039575539,0.0398292966074366,0.041782084463976,1.14795400091701,450
"25","Full","BLM3_fit","beta[4]",0.0355336762657358,0.00127277860947619,0.0337755800343088,0.0349954723354799,0.0356289547867626,0.0362359138726469,0.037225887080887,1.04795373523479,1500
"26","Full","BLM3_fit","beta[5]",0.0413012014198346,0.00128931841038515,0.0401240589747028,0.0409756426377085,0.0413923316604551,0.0417744772136558,0.0425408598047487,1.23570182077726,200
"27","Full","BLM3_fit","conditionalR2",0.995013251650235,0.0105779716688203,0.971467245409094,0.995448431622809,0.998793911959376,0.999447217376992,0.999675968412066,1.12333458035441,1500
"28","Full","BLM3_fit","deviance",-6090.95615251003,51.1987533129218,-6183.77470935996,-6126.23107107425,-6092.88142763492,-6058.04811782967,-5982.15702167201,1.01098074511519,200
