"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","BLM1_fit",-4657.30488380115,-4718.61318267877,-4595.99658492353
"2","Mineralogy","Mineralogy","BLM1_fit_NoErrors",-1516.32632086314,-2150.64922219344,-882.003419532836
"3","Mineralogy","Mineralogy","BLM3_fit",-4806.42411265387,-4820.11357504923,-4792.73465025851
"4","Mineralogy","4","BLM1_fit",-112.809852046574,-114.023569668683,-111.596134424464
"5","Mineralogy","4","BLM1_fit_NoErrors",-19.2200212626701,-20.3994131039072,-18.0406294214331
"6","Mineralogy","1","BLM1_fit",-531.273677885123,-539.565346942262,-522.982008827984
"7","Mineralogy","1","BLM1_fit_NoErrors",-215.997453310401,-218.955919166513,-213.038987454289
"8","Mineralogy","3","BLM1_fit",-4518.19829721132,-4573.65804326175,-4462.73855116089
"9","Mineralogy","3","BLM1_fit_NoErrors",-1540.90712329368,-1580.98632621272,-1500.82792037464
"10","Mineralogy","5","BLM1_fit",-133.685120906562,-136.500012272598,-130.870229540526
"11","Mineralogy","5","BLM1_fit_NoErrors",-22.3282219368829,-22.94045607885,-21.7159877949158
"12","Mineralogy","2","BLM1_fit",-81.7372263911799,-84.8402092003049,-78.6342435820549
"13","Mineralogy","2","BLM1_fit_NoErrors",-8.53177450071213,-8.68323535908189,-8.38031364234237
