"","targetMaterialColumn","dataset","R2 type","model","mean","lwr","upr"
"1","Mineralogy","Mineralogy","Conditional","BLM3_fit",0.998287795704344,0.998200310587247,0.99837528082144
"2","Mineralogy","Mineralogy","Marginal","BLM3_fit",0.037619135396178,0.0371352238392651,0.038103046953091
"3","Mineralogy","Mineralogy","BLM1_fit",NA,0.957802573814882,0.954861993950824,0.959679099733731
"4","Mineralogy","Mineralogy","BLM1_fit_NoErrors",NA,0.957953987017184,0.956808018063871,0.959438584248149
"5","Mineralogy","5","BLM1_fit",NA,0.854518305254833,0.211440788856038,0.979621886721165
"6","Mineralogy","5","BLM1_fit_NoErrors",NA,0.967749192674722,0.912736413681752,0.97970542804736
"7","Mineralogy","2","BLM1_fit",NA,0.66144185872486,0.351847359183426,0.776181572568719
"8","Mineralogy","2","BLM1_fit_NoErrors",NA,0.703342875380399,0.604294616939281,0.761608350348304
"9","Mineralogy","4","BLM1_fit",NA,0.92631390511667,0.90940497399691,0.931984654420596
"10","Mineralogy","4","BLM1_fit_NoErrors",NA,0.927199420826659,0.92380036686699,0.930720906348473
"11","Mineralogy","6","BLM1_fit",NA,0.96748106898878,0.842557926953608,0.991678797504589
"12","Mineralogy","6","BLM1_fit_NoErrors",NA,0.987608305529439,0.974634307819353,0.991696767114176
"13","Mineralogy","1","BLM1_fit",NA,0.491033573385476,0.069207156666816,0.746639556445232
"14","Mineralogy","1","BLM1_fit_NoErrors",NA,0.634041749545484,0.373896850218617,0.742673389519621
"15","Mineralogy","3","BLM1_fit",NA,0.489736807592129,0.00182759670060153,0.884843841237972
"16","Mineralogy","3","BLM1_fit_NoErrors",NA,0.699372275029336,0.0272160002243498,0.88588344107792
