"","targetMaterialColumn","dataset","model","median","lwr","upr"
"1","Mineralogy","Mineralogy","BLM1_fit",25615.7874021243,23735.8494959717,28672.1544328262
"2","Mineralogy","Mineralogy","BLM1_fit_NoErrors",21705.1393098563,18523.2642860635,23915.0321033867
"3","Mineralogy","Mineralogy","BLM3_fit",16353.877831268,16153.0759258205,16454.7931615362
"4","Mineralogy","4","BLM1_fit",3588.16122822174,2723.37560613686,3696.53261575142
"5","Mineralogy","4","BLM1_fit_NoErrors",139785.577229298,128434.107793683,199150.786704391
"6","Mineralogy","1","BLM1_fit",9631.10567006916,9339.71822920411,13137.8239052061
"7","Mineralogy","1","BLM1_fit_NoErrors",255689.669802003,190638.92665308,389980.063288276
"8","Mineralogy","3","BLM1_fit",29642.841827071,27015.9378966758,37242.362000559
"9","Mineralogy","3","BLM1_fit_NoErrors",39598.6791858093,36607.8508913688,76257.4148742803
"10","Mineralogy","5","BLM1_fit",1704.81155912074,1558.3755212342,1967.08912267223
"11","Mineralogy","5","BLM1_fit_NoErrors",128007.818237042,85879.685034609,204001.919445163
"12","Mineralogy","2","BLM1_fit",2412.32927238187,2363.54455743655,3572.64243852024
"13","Mineralogy","2","BLM1_fit_NoErrors",204424.987419864,170229.503044735,320864.662913644
