"","targetColumns","Dataset","model","meanBeta","sdBeta","meanAlpha","sdAlpha","Material"
"1","Mineralogy","Full","BLM1_fit",0.0392903628370825,0.0014457330588156,0.153271517894363,0.0162470502026016,NA
"2","Mineralogy","Full","BLM1_fit_NoErrors",0.0394493101693604,0.00149845859716449,0.151678341184506,0.0167092594740354,NA
"3","Mineralogy","Full","BLM3",0.161054860625409,0.0216316231699208,0.191281512794878,0.0740142989996698,"1"
"4","Mineralogy","Full","BLM3",0.155814726339029,0.0397898163711281,0.273587250932899,0.189581962403563,"2"
"5","Mineralogy","Full","BLM3",0.0823439358898114,0.0599320468048273,0.161054860625409,0.0216316231699208,"3"
"6","Mineralogy","Full","BLM3",0.0360127283124229,0.00628107824243976,0.155814726339029,0.0397898163711281,"4"
"7","Mineralogy","Full","BLM3",0.0289141038543561,0.016658776811166,0.0823439358898114,0.0599320468048273,"5"
"8","Mineralogy","subsets","BLM1_fit",0.0361474142366234,0.00644811351690193,0.18970101084289,0.0759117749383485,"1"
"9","Mineralogy","subsets","BLM1_fit_NoErrors",0.0366496322754947,0.00624305631085472,0.183811613185342,0.0735564780996949,"1"
"10","Mineralogy","subsets","BLM3",0.0358611633075368,0.00625794568402959,0.19324566147494,0.0733706803057338,"1"
"11","Mineralogy","FullDataset","Deming",0.041570862885839,0.002265843694621,0.128292623563078,0.0224548690674931,NA
"12","Mineralogy","FullDataset","LM",0.0394032694280471,0.000361604570706269,0.152117998642437,0.00416059631377134,NA
"13","Mineralogy","FullDataset","Weighted",0.0393275540595356,0.000311422402138735,0.152962861511729,0.00354740811068668,NA
"14","Mineralogy","FullDataset","York",0.0390049532932153,0.000442383585154208,0.158356348226297,0.00505757961901183,NA
"15","Mineralogy","subsets","Deming",0.0451193427917195,0.00606910745738086,0.0931800535306,0.0537861804839477,"1"
"16","Mineralogy","subsets","LM",0.0372780201328732,0.000831125193093737,0.178984287069124,0.00844956868457894,"1"
"17","Mineralogy","subsets","Weighted",0.0360660198150485,0.00303981106964457,0.193118792960582,0.0349897834479292,"1"
"18","Mineralogy","subsets","York",0.0400066548813648,0.00144237915487673,0.146060990154237,0.0192858774254796,"1"
