"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Mineralogy","Full","BLM1_fit",NA,0.0393150676580851,0.00150335504889745,0.153143083187802,0.0168614918732602
"2","Mineralogy","Full","BLM1_fit_NoErrors",NA,0.039378536725529,0.00145249559383133,0.15240761252791,0.0163777267033583
"3","Mineralogy","Full","BLM3","1",0.0366339051346441,0.00637303323635321,0.183680607389121,0.0749995523698156
"4","Mineralogy","Full","BLM3","2",0.0290009763962491,0.016350859610297,0.271788940632786,0.186263557485207
"5","Mineralogy","Full","BLM3","3",0.0387326577303339,0.00192116089082749,0.161202989018179,0.021943170637288
"6","Mineralogy","Full","BLM3","4",0.039217930064241,0.00559450886225996,0.155843718272573,0.0397912348262443
"7","Mineralogy","Full","BLM3","5",0.0420222989918664,0.006080199325293,0.0833742123910231,0.0588145872080448
"8","Mineralogy","Full","Deming",NA,0.0416632439386688,0.00219990334400986,0.127413479066658,0.0212667965539191
"9","Mineralogy","Full","LM",NA,0.0394088686185862,0.000361809647963587,0.152044956443317,0.00414952346453945
"10","Mineralogy","Full","Weighted",NA,0.0393048563855688,0.000321831106384484,0.153196316936295,0.00369602252612508
"11","Mineralogy","Full","York",NA,0.0390234419465989,0.000448184345639533,0.158075629918759,0.0050611375420976
"12","Mineralogy","subsets","BLM1_fit","1",0.0359700849973603,0.00631360643452259,0.191630541889095,0.0742429417970561
"13","Mineralogy","subsets","BLM1_fit","2",0.0319565815553419,0.0169988609374377,0.238219433560315,0.192700780144655
"14","Mineralogy","subsets","BLM1_fit","3",0.0387115052749427,0.0018511702600053,0.161562444703426,0.0212470029227556
"15","Mineralogy","subsets","BLM1_fit","4",0.0392798815233635,0.00574793392023448,0.154628329419268,0.0408526705499606
"16","Mineralogy","subsets","BLM1_fit","5",0.042246521114563,0.00623168028736071,0.0819087418036329,0.060227363099479
"17","Mineralogy","subsets","BLM1_fit_NoErrors","1",0.0368280199845152,0.00627596340481973,0.181880513810213,0.0737749108708265
"18","Mineralogy","subsets","BLM1_fit_NoErrors","2",0.0315610152228313,0.0167319056388934,0.243414954087639,0.190274211737962
"19","Mineralogy","subsets","BLM1_fit_NoErrors","3",0.0388557261342487,0.00186767722044127,0.159857182584838,0.0213721453268183
"20","Mineralogy","subsets","BLM1_fit_NoErrors","4",0.0393963684077356,0.00559663458972599,0.154070644884489,0.0398881708603095
"21","Mineralogy","subsets","BLM1_fit_NoErrors","5",0.0421484052208972,0.00626202508989246,0.0816968569829418,0.059917160545456
"22","Mineralogy","subsets","BLM3","1",0.0364089404785672,0.00634666561086219,0.186698078786664,0.0747198642706926
"23","Mineralogy","subsets","BLM3","2",0.0288817659059351,0.0169582869761744,0.273036498627532,0.19396343899148
"24","Mineralogy","subsets","BLM3","3",0.0386975600275314,0.00187845332494594,0.161757533953874,0.0214793061361912
"25","Mineralogy","subsets","BLM3","4",0.0391508770755484,0.00567426808322574,0.155782413120017,0.0405720990829964
"26","Mineralogy","subsets","BLM3","5",0.0420996192834623,0.00629032248738059,0.0828616719949429,0.0602827504623757
"27","Mineralogy","subsets","Deming","1",0.0424187567752822,0.0105926544634793,0.12958242633432,0.108506101372127
"28","Mineralogy","subsets","Deming","2",0.0362551379190933,0.0110089439292073,0.186371023235603,0.120975507391552
"29","Mineralogy","subsets","Deming","3",0.0366640794250638,0.00383818071011034,0.169052347867545,0.0454912100771279
"30","Mineralogy","subsets","Deming","4",0.0403217642538385,0.000665018696054072,0.133926265599486,0.00604852087615809
"31","Mineralogy","subsets","Deming","5",0.0436643399114785,0.00148237534969839,0.0612633202287857,0.00964310914444302
"32","Mineralogy","subsets","LM","1",0.0370474416020659,0.000170092726720964,0.180696747391959,0.00277915482071956
"33","Mineralogy","subsets","LM","2",0.0312605426735255,0.000926251291339623,0.246066023088232,0.0109332092620957
"34","Mineralogy","subsets","LM","3",0.0386241773539114,0.000385780500287575,0.16238904707292,0.00506000534289504
"35","Mineralogy","subsets","LM","4",0.0417196488866389,0.000296689532533431,0.135594973343614,0.00248681259306692
"36","Mineralogy","subsets","LM","5",0.0403249743671685,0.000797157874121632,0.0989620009073143,0.00748837601659699
"37","Mineralogy","subsets","Weighted","1",0.0360815539893856,0.00013731653174507,0.191371985526272,0.00212548723080682
"38","Mineralogy","subsets","Weighted","2",0.0329602725756043,0.000539638445902133,0.226879471131431,0.0056378005763396
"39","Mineralogy","subsets","Weighted","3",0.0386080499894538,4.45458987401759e-05,0.162570291973774,0.00119990812502027
"40","Mineralogy","subsets","Weighted","4",0.0400700399260495,0.00143887947818072,0.148405987983691,0.00498498687987925
"41","Mineralogy","subsets","Weighted","5",0.0423584584349929,5.98665536516713e-05,0.080263625089274,0.00192234543792907
"42","Mineralogy","subsets","York","1",0.0368583788164896,0.000186502216049698,0.187220548949607,0.00328090338518657
"43","Mineralogy","subsets","York","2",0.0280239437488808,0.0023999132428408,0.282819610409369,0.0240651164291504
"44","Mineralogy","subsets","York","3",0.0383371471969409,0.000559794289589892,0.164192705375746,0.00135507993874764
"45","Mineralogy","subsets","York","4",0.0378660285913932,0.00263152809605216,0.16776702856415,0.0129016705273001
"46","Mineralogy","subsets","York","5",0.0414756227159639,0.000591024396983424,0.0866183061052465,0.000617957701320145
