"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","Mineralogy","BLM1_NE","Full",0,0
"2","Mineralogy","BLM3","Full",-121863.558865588,1055.10229118632
"3","Mineralogy","BLM1_E","Full",-2856528.55539706,25268.5385925942
"4","Mineralogy","BLM3","3",0,0
"5","Mineralogy","BLM1_NE","3",-4069.96965008805,29.4961250690777
"6","Mineralogy","BLM1_E","3",-1746097.42791341,16065.0074536717
"7","Mineralogy","BLM1_NE","1",0,0
"8","Mineralogy","BLM3","1",-828.214460508667,1.41427280112148
"9","Mineralogy","BLM1_E","1",-1219021.15352668,15815.3113825073
"10","Mineralogy","BLM1_NE","2",0,0
"11","Mineralogy","BLM3","2",-12622.3003506461,287.553935544376
"12","Mineralogy","BLM1_E","2",-1537570.05049491,35025.3853009686
"13","Mineralogy","BLM3","4",0,0
"14","Mineralogy","BLM1_NE","4",-229.066648077821,21.2921775490463
"15","Mineralogy","BLM1_E","4",-4229932.63924716,355067.432987548
"16","Mineralogy","BLM1_NE","5",0,0
"17","Mineralogy","BLM3","5",-259.79517945859,16.5788408228141
"18","Mineralogy","BLM1_E","5",-186595.052777574,12866.5767732025
