"","targetColumns","Model","Material","elpd_diff","se_diff"
"1","Mineralogy","BLM1_NE","Full",0,0
"2","Mineralogy","BLM3","Full",-60331.4135845159,1616.33656871605
"3","Mineralogy","BLM1_E","Full",-477586.484180198,12824.4169187455
"4","Mineralogy","BLM3","2",0,0
"5","Mineralogy","BLM1_NE","2",-4383.00544052952,127.872423415397
"6","Mineralogy","BLM1_E","2",-8387144.45764498,253397.044913494
"7","Mineralogy","BLM1_NE","1",0,0
"8","Mineralogy","BLM3","1",-937.829906419379,111.415737624296
"9","Mineralogy","BLM1_E","1",-280276.909791326,13700.6135457368
"10","Mineralogy","BLM1_NE","4",0,0
"11","Mineralogy","BLM3","4",-1328.3561010116,92.1986576265801
"12","Mineralogy","BLM1_E","4",-81628.9952237872,5639.83900121676
"13","Mineralogy","BLM1_NE","3",0,0
"14","Mineralogy","BLM3","3",-353.065269024519,31.9883738467998
"15","Mineralogy","BLM1_E","3",-179084.377188669,16591.6515480574
