"","targetMaterialColumn","dataset","R2 type","model","median","lwr","upr"
"1","Mollusk","Mollusk","Conditional","BLM1_fit",0.931387364904935,0.906141430331709,0.947750613326276
"2","Mollusk","Mollusk","Conditional","BLM1_fit_NoErrors",0.932346536607638,0.907694137390156,0.947953874630768
"3","Mollusk","Mollusk","Conditional","BLM3_fit",0.998406473068489,0.997419265867612,0.998849796796931
"4","Mollusk","Mollusk","Marginal","BLM3_fit",0.0370662397793506,0.0361354825741066,0.0383653438041876
"5","Mollusk","3","BLM1_fit",NA,0.957416830028517,0.955794065787466,0.958512034252927
"6","Mollusk","3","BLM1_fit_NoErrors",NA,0.957797969214345,0.956298169017397,0.958805591109261
"7","Mollusk","2","BLM1_fit",NA,0.752829478068786,0.704846402607051,0.781722054625251
"8","Mollusk","2","BLM1_fit_NoErrors",NA,0.759356988803336,0.708555295784963,0.788515877157003
"9","Mollusk","1","BLM1_fit",NA,0.532651461286742,0.23984260416059,0.660595554672915
"10","Mollusk","1","BLM1_fit_NoErrors",NA,0.551778406407929,0.161682365679643,0.681909129788732
