"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Mollusk","Full","BLM1_fit",NA,0.0391946811448529,0.000279392823377593,0.155046396632418,0.00315140441231958
"2","Mollusk","Full","BLM1_fit_NoErrors",NA,0.0393920620205966,0.000283902094743113,0.152372511044493,0.00318406434440445
"3","Mollusk","Full","BLM3","1",0.0332610463750322,0.00203244353313804,0.225621958470207,0.0247161854813552
"4","Mollusk","Full","BLM3","2",0.0393638608475283,0.000283412976209163,0.1534418250718,0.0031494280518038
"5","Mollusk","Full","Deming",NA,0.0419483933509417,0.00223230408935139,0.126625810955914,0.0208944093820715
"6","Mollusk","Full","LM",NA,0.0393908843092819,0.000366481273721709,0.152393758592968,0.00415502801147174
"7","Mollusk","Full","Weighted",NA,0.0393110926655601,0.000315738710089886,0.153263363984416,0.00356451528586702
"8","Mollusk","Full","York",NA,0.039067199835722,0.000476024526364529,0.157412328313643,0.00526747092645196
"9","Mollusk","subsets","BLM1_fit","1",0.0335963273902466,0.00148544137015573,0.221600954548711,0.0180031509643265
"10","Mollusk","subsets","BLM1_fit","2",0.0393641409433348,0.000297656238372111,0.153422011480957,0.00327078589012048
"11","Mollusk","subsets","BLM1_fit_NoErrors","1",0.0340355818358297,0.0017362805184355,0.21662952826346,0.0211326237876025
"12","Mollusk","subsets","BLM1_fit_NoErrors","2",0.0395451610222011,0.000301446856272393,0.150940128461958,0.00331203601807692
"13","Mollusk","subsets","BLM3","1",0.0335323430448253,0.001609683923542,0.22232850530997,0.0194826073562232
"14","Mollusk","subsets","BLM3","2",0.0393724455183754,0.000296867193941228,0.153333300204222,0.00326637890456162
"15","Mollusk","subsets","Deming","1",0.0391068478789556,0.0216725418156785,0.164871654033244,0.245484886135281
"16","Mollusk","subsets","Deming","2",0.0394022980180965,0.000566913418467414,0.147380734387133,0.00808968746748088
"17","Mollusk","subsets","LM","1",0.0352331793155393,0.00275489324693546,0.202302979514797,0.0341216066662671
"18","Mollusk","subsets","LM","2",0.0397202657302343,0.000671353456553903,0.149235162977082,0.00779064095028546
"19","Mollusk","subsets","Weighted","1",0.0345059554844942,0.000625713841410356,0.212394015946579,0.00613028774776491
"20","Mollusk","subsets","Weighted","2",0.0399041188132477,9.97315660633078e-05,0.146895190521412,0.00120546075018273
"21","Mollusk","subsets","York","1",0.0343148379954212,0.000952524997351398,0.214384840771226,0.0107767467678792
"22","Mollusk","subsets","York","2",0.040090938582264,0.00176950990912566,0.144515469396142,0.0206241037532025
