"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","NaturalSynthetic","Full","BLM1_fit",NA,0.0392064924455453,0.000279581142487886,0.154938642223345,0.00312617513294194
"2","NaturalSynthetic","Full","BLM1_fit_NoErrors",NA,0.0393904282981536,0.000287630843274646,0.152381352141298,0.00322750557025139
"3","NaturalSynthetic","Full","BLM3","1",0.0382778786616634,0.000793236315015539,0.166480813451522,0.00931982179844548
"4","NaturalSynthetic","Full","BLM3","2",0.0390762855246718,0.000348409846283657,0.154618648343371,0.00346476366701253
"5","NaturalSynthetic","Full","Deming",NA,0.0418649161067529,0.00210743637816841,0.127470668391914,0.0196454324881571
"6","NaturalSynthetic","Full","LM",NA,0.0393996242863706,0.00035039608854981,0.152249550347176,0.00400668446794211
"7","NaturalSynthetic","Full","Weighted",NA,0.0393001687753878,0.000315002123980832,0.153382213072764,0.0035316281106693
"8","NaturalSynthetic","Full","York",NA,0.0390652793858987,0.000469470605169821,0.157532521994228,0.00526901180515713
"9","NaturalSynthetic","subsets","BLM1_fit","1",0.0383213902296637,0.000797104600369694,0.165980448765041,0.00938348044348795
"10","NaturalSynthetic","subsets","BLM1_fit","2",0.0391036437961817,0.000375289270585683,0.154336971321213,0.00368649629656567
"11","NaturalSynthetic","subsets","BLM1_fit_NoErrors","1",0.0387022651828717,0.000743098101266902,0.16124685673051,0.00876243692681325
"12","NaturalSynthetic","subsets","BLM1_fit_NoErrors","2",0.0391747888579701,0.000402151552010743,0.152806735211011,0.0039352957895952
"13","NaturalSynthetic","subsets","BLM3","1",0.0384004909536401,0.000762265422720492,0.165067609596803,0.00895596857551165
"14","NaturalSynthetic","subsets","BLM3","2",0.0390872189142834,0.00036519589633792,0.154458157673186,0.0035686860335298
"15","NaturalSynthetic","subsets","Deming","1",0.0478782980755915,0.0059797944054353,0.0492299706459633,0.0637828414103359
"16","NaturalSynthetic","subsets","Deming","2",0.0388415816598253,0.00379125461721671,0.153144216734816,0.0253306112713968
"17","NaturalSynthetic","subsets","LM","1",0.0384612754817912,0.00094430872256939,0.16415886315557,0.0114524800686405
"18","NaturalSynthetic","subsets","LM","2",0.0389245653147557,0.00025095154300228,0.155598798982372,0.00245770463106429
"19","NaturalSynthetic","subsets","Weighted","1",0.0387530936078019,0.000980092791672274,0.161400948304822,0.0120960542863463
"20","NaturalSynthetic","subsets","Weighted","2",0.0394199540910985,0.000233160741469783,0.150182600299683,0.000175416264568543
"21","NaturalSynthetic","subsets","York","1",0.0373014959378005,0.000412172907170737,0.17828924622338,0.00366251984679554
"22","NaturalSynthetic","subsets","York","2",0.0391100441650628,5.85311184545442e-05,0.155603131502652,0.000340825263225946
