"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","SynCalForam","Full","BLM1_fit",NA,0.0403182788150184,0.00104351864439333,0.141180993291316,0.0123489464319152
"2","SynCalForam","Full","BLM1_fit_NoErrors",NA,0.0393959533811641,0.00108624900907804,0.152072481579134,0.0128347690391002
"3","SynCalForam","Full","BLM3","1",0.0402862747471619,0.00176680507644694,0.141020615335738,0.0209759883244533
"4","SynCalForam","Full","BLM3","2",0.0391805849431507,0.00134215630334621,0.155585324983446,0.0155763156553126
"5","SynCalForam","Full","Deming",NA,0.0436060713892953,0.0192783757828422,0.101965333013482,0.225340960101553
"6","SynCalForam","Full","LM",NA,0.039406904699745,0.00105455901057132,0.15194940602669,0.0125582620282178
"7","SynCalForam","Full","Weighted",NA,0.0392908067066119,0.00106555593558408,0.153296073745177,0.012662309218255
"8","SynCalForam","Full","York",NA,0.0472152476402969,0.00534502664411619,0.0603299082628501,0.0650706667936743
"9","SynCalForam","subsets","BLM1_fit","1",0.0433969899710439,0.00170496219460501,0.104042152770962,0.020256161188065
"10","SynCalForam","subsets","BLM1_fit","2",0.0392249973579049,0.00162539504299264,0.155022997752126,0.0188683096242001
"11","SynCalForam","subsets","BLM1_fit_NoErrors","1",0.04024618762366,0.00152838108705485,0.141497874198779,0.0182229020602315
"12","SynCalForam","subsets","BLM1_fit_NoErrors","2",0.0390665412377923,0.00162155823288057,0.156863668967693,0.0187304147772768
"13","SynCalForam","subsets","BLM3","1",0.0402108817148967,0.00158750882881058,0.141909208719935,0.0189000990142372
"14","SynCalForam","subsets","BLM3","2",0.0391973018115601,0.001767069251829,0.155351324933756,0.0205226867009664
"15","SynCalForam","subsets","Deming","1",0.0468702601931531,0.00198678141652405,0.0642661001295425,0.0235311676207938
"16","SynCalForam","subsets","Deming","2",0.0341306922305071,0.0325568939740487,0.209234765790379,0.374237566100699
"17","SynCalForam","subsets","LM","1",0.0402776346527805,0.00126512890476895,0.141128675477551,0.0151952716533994
"18","SynCalForam","subsets","LM","2",0.0391738354970442,0.0016312370987265,0.155546307944037,0.0190051660657243
"19","SynCalForam","subsets","Weighted","1",0.0401648805564249,0.00129141100314906,0.14247322337942,0.015539413173588
"20","SynCalForam","subsets","Weighted","2",0.0391178761146685,0.00147858769092679,0.156278268682802,0.0171513244913057
"21","SynCalForam","subsets","York","1",0.0467574450745264,0.0019356151676758,0.0655300458299874,0.022839339577567
"22","SynCalForam","subsets","York","2",0.0469649251692431,0.00627067793673532,0.0629410607052291,0.0763538360247398
