"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","SynCalForam","Full","BLM1_fit",NA,0.0387889198780292,0.000411291717840575,0.158716816030773,0.00462362625629968
"2","SynCalForam","Full","BLM1_fit_NoErrors",NA,0.0383952432153742,0.000308009994387263,0.163050490695906,0.00352489051574582
"3","SynCalForam","Full","BLM3","1",0.0364738217632175,0.00133639330207267,0.18546740396883,0.0161275408324342
"4","SynCalForam","Full","BLM3","2",0.0387643567330834,0.000355256931233204,0.160607426204967,0.00367161107782751
"5","SynCalForam","Full","Deming",NA,0.0386507264060301,0.000593747805435118,0.15887614701917,0.00591788623109545
"6","SynCalForam","Full","LM",NA,0.038353067719988,0.000222579227998296,0.163557730672875,0.00241106333694254
"7","SynCalForam","Full","Weighted",NA,0.038423167657108,0.000176410404772561,0.162747853595988,0.00185868429246401
"8","SynCalForam","Full","York",NA,0.0385852000753109,0.000541621860641036,0.159422776553965,0.0054642374708569
"9","SynCalForam","subsets","BLM1_fit","1",0.0422446814590127,0.00502849411096223,0.116004676644701,0.0605149585941858
"10","SynCalForam","subsets","BLM1_fit","2",0.0389390166361114,0.000410743053742457,0.158854942948839,0.0041764286902584
"11","SynCalForam","subsets","BLM1_fit_NoErrors","1",0.0365047722312814,0.00128622234823327,0.185093187919686,0.0155017827513685
"12","SynCalForam","subsets","BLM1_fit_NoErrors","2",0.0387556202749307,0.000386337927054268,0.16065497472069,0.00395568526214636
"13","SynCalForam","subsets","BLM3","1",0.036549424689678,0.00132489663151846,0.184582273018313,0.0159556779764835
"14","SynCalForam","subsets","BLM3","2",0.0387317940719219,0.000376024159828128,0.16092939782944,0.00384392988611612
"15","SynCalForam","subsets","Deming","1",0.0408053580306506,0.00178482795658925,0.134735037912087,0.0211233812781198
"16","SynCalForam","subsets","Deming","2",0.0384986900380816,0.000772935139999917,0.159228859501905,0.00483801351120231
"17","SynCalForam","subsets","LM","1",0.0365544026452342,0.00119045354606003,0.184615768073103,0.0144667818111975
"18","SynCalForam","subsets","LM","2",0.0387395426250458,0.000290834699477588,0.160818618901749,0.00237704301803705
"19","SynCalForam","subsets","Weighted","1",0.0365218438148465,0.00117283817969723,0.184782224087998,0.014175372697599
"20","SynCalForam","subsets","Weighted","2",0.0385189576287608,0.000250961926884613,0.162635944317988,0.00204007395407592
"21","SynCalForam","subsets","York","1",0.0407642114176871,0.00163198338862844,0.135278651528231,0.0192815938616808
"22","SynCalForam","subsets","York","2",0.0384330946886467,0.000684912293373674,0.159294177518751,0.00480295268787395
