"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","SyntheticVSForam","Full","BLM1_fit",NA,0.0395990281636253,0.000450261321807031,0.147917046540821,0.00483471245096798
"2","SyntheticVSForam","Full","BLM1_fit_NoErrors",NA,0.0391109018008551,0.000295407877129018,0.15309832770541,0.00324360145268251
"3","SyntheticVSForam","Full","BLM3","1",0.0366157850101789,0.00162251008913419,0.183727779838211,0.0195404092267594
"4","SyntheticVSForam","Full","BLM3","2",0.0390571471207311,0.000335829330067345,0.153000223453269,0.00328601601099434
"5","SyntheticVSForam","Full","Deming",NA,0.0385968849644791,0.000568548994043824,0.158414672436135,0.00536381336098321
"6","SyntheticVSForam","Full","LM",NA,0.039099451057105,0.000366767937261124,0.153177074508127,0.00408190577594759
"7","SyntheticVSForam","Full","Weighted",NA,0.0390374979864674,0.000328743511194164,0.153821958640282,0.00376996024833464
"8","SyntheticVSForam","Full","York",NA,0.0386166412987378,0.000539060278186258,0.158370069702036,0.00506217123266529
"9","SyntheticVSForam","subsets","BLM1_fit","1",0.0400465171182742,0.0033836565962522,0.14253377418094,0.0407241900675084
"10","SyntheticVSForam","subsets","BLM1_fit","2",0.0395119874971289,0.000488427238362419,0.14874433609882,0.00470820989088892
"11","SyntheticVSForam","subsets","BLM1_fit_NoErrors","1",0.0365044433301188,0.00126985157706801,0.185091865586821,0.0152813077704409
"12","SyntheticVSForam","subsets","BLM1_fit_NoErrors","2",0.0390647999052597,0.000385197951699953,0.152926711820792,0.00378532439122404
"13","SyntheticVSForam","subsets","BLM3","1",0.0365436310538667,0.00133100876176198,0.184637125972779,0.0160176636561659
"14","SyntheticVSForam","subsets","BLM3","2",0.0390443216662808,0.000393120761131976,0.153122452669094,0.00381060275124724
"15","SyntheticVSForam","subsets","Deming","1",0.0405610675884812,0.00185132861995642,0.137654525492882,0.0218950531211817
"16","SyntheticVSForam","subsets","Deming","2",0.0382654056368301,0.0031320321879801,0.160868316786142,0.0314391978971832
"17","SyntheticVSForam","subsets","LM","1",0.036458610115813,0.00117985392290153,0.1855959250898,0.0143080990454585
"18","SyntheticVSForam","subsets","LM","2",0.0390499753252118,0.000481872690503674,0.153023948989704,0.00469087437942603
"19","SyntheticVSForam","subsets","Weighted","1",0.0365900034797968,0.00118218436202679,0.184080500468012,0.0142844278213929
"20","SyntheticVSForam","subsets","Weighted","2",0.0390146592185707,0.000445295522301177,0.153405519413811,0.00439296769174216
"21","SyntheticVSForam","subsets","York","1",0.0404974875148747,0.00179650564474008,0.138281814763321,0.0212448656926921
"22","SyntheticVSForam","subsets","York","2",0.0384732307203117,0.000666677035731545,0.158874284279527,0.00492268634857832
