"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","SyntheticVSForam","Full","BLM1_fit",NA,0.0398973804438884,0.000397058255433342,0.14811883890494,0.00434032518791106
"2","SyntheticVSForam","Full","BLM1_fit_NoErrors",NA,0.039253697194615,0.000224464115999415,0.15514375490532,0.00250255274298644
"3","SyntheticVSForam","Full","BLM3","1",0.0365374584312539,0.00157292717776989,0.184720768196209,0.0189198121813268
"4","SyntheticVSForam","Full","BLM3","2",0.0405795864526517,0.000401686239817935,0.141501787433251,0.004579496693942
"5","SyntheticVSForam","Full","BLM3","3",0.0388062650605538,0.000342715341122676,0.160336636948188,0.00338269277370327
"6","SyntheticVSForam","Full","Deming",NA,0.0400257141748199,0.00282960593513416,0.150095876669308,0.0238677709957106
"7","SyntheticVSForam","Full","LM",NA,0.0392582783223106,0.000229385604373745,0.155075452862565,0.00263950437356306
"8","SyntheticVSForam","Full","Weighted",NA,0.0392154743779017,0.00022335071200187,0.155528739752738,0.00248238322383294
"9","SyntheticVSForam","Full","York",NA,0.0391870065465647,0.000469958777772181,0.157395554424882,0.00480838767040442
"10","SyntheticVSForam","subsets","BLM1_fit","1",0.042632849847371,0.00372325544249761,0.111381182884564,0.0447765898150283
"11","SyntheticVSForam","subsets","BLM1_fit","2",0.0414002376982769,0.000696099902467721,0.132346218783002,0.00787502418711136
"12","SyntheticVSForam","subsets","BLM1_fit","3",0.0390986565666229,0.000372973296214761,0.157669746336148,0.00359268471546848
"13","SyntheticVSForam","subsets","BLM1_fit_NoErrors","1",0.0365814921911387,0.00127274088198409,0.184185639033287,0.015342912409451
"14","SyntheticVSForam","subsets","BLM1_fit_NoErrors","2",0.0405716622038397,0.000417335386811447,0.141597863037599,0.004732075308132
"15","SyntheticVSForam","subsets","BLM1_fit_NoErrors","3",0.0387823849102194,0.000319795130441429,0.160587701706549,0.00316698986716519
"16","SyntheticVSForam","subsets","BLM3","1",0.0364774297345721,0.00126080922789016,0.185439255484343,0.0151917108512834
"17","SyntheticVSForam","subsets","BLM3","2",0.0405834805262343,0.00045726568617013,0.141475859169242,0.0052309469108791
"18","SyntheticVSForam","subsets","BLM3","3",0.0388041907593022,0.0003182096652586,0.160347852263147,0.00311650995149636
"19","SyntheticVSForam","subsets","Deming","1",0.040824320354921,0.00179361995282124,0.134442568959737,0.0212131532174845
"20","SyntheticVSForam","subsets","Deming","2",0.0414272256334199,0.00072707245757794,0.13485780690018,0.0081443043271548
"21","SyntheticVSForam","subsets","Deming","3",0.0375011983963818,0.00671726146722449,0.169165081518345,0.0695329807176297
"22","SyntheticVSForam","subsets","LM","1",0.0364008668186656,0.00126575970417038,0.186357830356002,0.0152457071101152
"23","SyntheticVSForam","subsets","LM","2",0.0405538185981168,0.00047694978384452,0.141831630568146,0.00547069415001451
"24","SyntheticVSForam","subsets","LM","3",0.0388237081650127,0.000336712830863057,0.160109824048752,0.00299184527274464
"25","SyntheticVSForam","subsets","Weighted","1",0.0368439995966217,0.00113401277542426,0.180977019792018,0.0136267516798624
"26","SyntheticVSForam","subsets","Weighted","2",0.0404404123593062,0.000527460407547891,0.143140119552159,0.0062672034343454
"27","SyntheticVSForam","subsets","Weighted","3",0.0387415849087528,0.000330978783517809,0.160804421946698,0.00299290676147448
"28","SyntheticVSForam","subsets","York","1",0.0403613902046745,0.00167438381243997,0.139953457191904,0.0199071468941797
"29","SyntheticVSForam","subsets","York","2",0.0414306526806042,0.000687892129313684,0.134791697528268,0.00770711347814846
"30","SyntheticVSForam","subsets","York","3",0.0385184389215367,0.00070951584905996,0.159395783518084,0.00476567898208391
