"","targetColumns","Dataset","model","Material","meanBeta","sdBeta","meanAlpha","sdAlpha"
"1","Teeth","Full","BLM1_fit",NA,0.0392199179961062,0.000272491344643433,0.154734316927822,0.00306275242468417
"2","Teeth","Full","BLM1_fit_NoErrors",NA,0.0393941365520774,0.000281204742317929,0.15236895613353,0.00315005551171981
"3","Teeth","Full","BLM3","1",0.0298285902219006,0.00454464090060384,0.261982352230965,0.0521870780822851
"4","Teeth","Full","BLM3","2",0.0392446231959449,0.000274878734138677,0.154513530042566,0.00309253333977093
"5","Teeth","Full","Deming",NA,0.0419363091817545,0.00220910533445989,0.126970627932413,0.0210278712325161
"6","Teeth","Full","LM",NA,0.0393781579415731,0.000361959238715044,0.152560459531159,0.00406419856418661
"7","Teeth","Full","Weighted",NA,0.0393007193541328,0.000297546086304082,0.153407798613126,0.00332325858997792
"8","Teeth","Full","York",NA,0.0390703635357684,0.000478913517430503,0.157462745592124,0.00522746472409498
"9","Teeth","subsets","BLM1_fit","1",0.0280278081595403,0.00230768255031718,0.282363104472434,0.0262255011188579
"10","Teeth","subsets","BLM1_fit","2",0.0392474792441476,0.000284251354782723,0.154465548151552,0.00320474360103665
"11","Teeth","subsets","BLM1_fit_NoErrors","1",0.0312093471815022,0.00238176542758163,0.246354956870395,0.0274486432095421
"12","Teeth","subsets","BLM1_fit_NoErrors","2",0.0394167897928384,0.000283636545214534,0.152111938869637,0.00317122387924363
"13","Teeth","subsets","BLM3","1",0.0279117425795864,0.00204235007490476,0.283654388851991,0.023165753188159
"14","Teeth","subsets","BLM3","2",0.039251015523951,0.000275046676398558,0.154408611637821,0.00309902136992979
"15","Teeth","subsets","Deming","1",0.0451921604845252,0.000785470536562748,0.0883378144203486,0.00915811173434332
"16","Teeth","subsets","Deming","2",0.0436587463957569,0.000602750293764686,0.118322669537275,0.00657988384298402
"17","Teeth","subsets","LM","1",0.030891860454544,0.000809868164113452,0.248880161201983,0.00933828631591919
"18","Teeth","subsets","LM","2",0.0395065735262124,0.000207348240209657,0.150910411390203,0.00149027130788514
"19","Teeth","subsets","Weighted","1",0.0322662621079864,0.00190001109468199,0.234303447510461,0.0218573425242485
"20","Teeth","subsets","Weighted","2",0.0392190422979321,9.11008508025791e-05,0.153652258955748,0.000565645645439678
"21","Teeth","subsets","York","1",0.0296220871306526,0.00110006022522542,0.265019007202382,0.016144953620481
"22","Teeth","subsets","York","2",0.0391897707942753,0.000226691715900637,0.157323210491704,0.0026602210325076
